구분,유저,챗봇
배경/남편,남편이 해주는 말이 아직도 안 믿겨.,그렇게 생각하는 이유가 있을까요?
배경/남편,사이가 계속 좋지는 않았어요. 그냥 여느 부부처럼 싸우고 화해하고…,다들 그렇게 지내곤 하죠.
배경/남편,어차피 남편 카드 내역 같은 건 제 손을 거치니까 그것도 봤거든요.,그렇군요.
배경/남편,그리고 그 이가 출장 갔다 오자마자 짐 챙겨서 쫓아냈는데…,화가 많이 나셨었군요.
배경/남편,지금 남편과 18년 전에 만났는데 지금도 생각이 나.,이야기를 더 듣고 싶어요.
배경/남편,남편이랑 한달에 몇번은 보는 것 같아요.,혼자 지내는 기간이 많으시군요.
배경/남편,제가 밥해주러 가기도 하고 남편에게 전화도 자주 오거든요.,자상한 분이시네요.
배경/남편,하지만 남편은 언제나 조용했어요.,그럴 때 때때로 답답함을 느끼기도 하지요.
배경/남편,남편도 저랑 비슷한 성격인데 저보다는 좀 더 나아요.,배울 점이 있는 분이시군요.
배경/남편,남편 새끼 진짜 이게 몇 번째지?,그동안 많이 참았었군요.
배경/남편,근데 내가 세 번까지도 참아줘야 하냐? 저 새끼 절대 정신 못 차려.,마음 고생이 심하셨군요.
배경/남편,"저 인간은 젊었을 때부터 저랬어. 아주 구제불능, 구제불능.",같은 문제가 반복되어 왔군요.
배경/남편,그래서 집에 와서도 계속 남편을 졸라요.,외로움이란건 어쩔 수 없는 것 같아요.
배경/남편,남편이 처음에는 좋아했는데 나중에는 너 왜 그러냐고 할 정도예요.,갑자기 변한 이유가 무엇일까요?
배경/남편,나한텐 남편밖에 없는데…,지금의 심정을 말해보는건 어떤가요?
배경/남편,"남편은 아들 편을 들어요, 그렇게 행동할 애들이 아니라며…",자식에 대해서도 엄격해질 필요가 때론 있지요.
배경/남편/갈등,남편이랑 요즘 사이가 안 좋아요.,남편 분과 갈등을 겪고 계시군요. 마음이 많이 상하셨겠어요.
배경/남편/갈등,연애랑 결혼은 정말 다른 것 같아요. 연애할 때 몰랐던 게 왜 이렇게 많은지… 사사건건 맘에 안들고 부딪혀요.,"아휴, 제가 더 속상하네요. "
배경/남편/갈등,남편이 너는 뭐가 그렇게 매일 힘드냐고 비난조로 말을 하더라고요.,싸워서 해결이 되는 일이라면 좋겠어요... 힘을 내세요.
배경/남편/갈등,남편과 부딪히는 날이 점점 많아졌어.,그때부터 고민이 많아지셨겠어요.
배경/남편/갈등,그러니까 남편이 하는 말이 더 가관이었어요.,점점 이해하기 힘들어졌군요.
배경/남편/갈등,전 진짜 그 사람이 이해가 안 돼요.,차분히 대화를 나눠보세요.
배경/남편/갈등,내가 한 소리해야겠다고 했더니 펄쩍 뛰지 뭐야. 왜 회사 일에 간섭이냐고…,말을 서운하게 하시네요.
배경/남편/경제적문제,남편 집안 사정이 별로 안 좋아요. ,힘들겠어요. 여러 가지 문제가 얽혀있으면 마음이 더 답답하잖아요.
배경/남편/경제적문제,남편이 아무리 애를 써도 집에 가져다 주는 돈이 들쭉날쭉 해.,그렇군요. 너무 울적해하지 마세요. 둘이라면 잘 헤쳐나갈 수 있을 거예요.
배경/남편/경제적문제,남편 벌어오는 돈도 시원찮고... ,울적한 기분이 들면 저에게 털어버리세요.
배경/남편/경제적문제,그러다 남편 가방이 열려 있어서 무심코 보는데 현금 인출한 영수증을 보게 됐어요. 무려 3백만 원…,그 일에 대해 여쭤보셨나요?
배경/남편/경제적문제,신랑이 돈을 잘 못 벌어서 속상하긴 해. 근데 워낙 좋은 사람이라 싫은 소리를 할 수도 없어.,사람이 좋으면 됐죠.
배경/남편/경제적문제,신랑 일이 계속 잘 안 돼서 경제적으로 어려웠어.,"저런, 그래도 잘 극복 하셨네요."
배경/남편/경제적문제,남편이 벌이는 안 좋아도 좋은 사람이에요.,그게 가장 중요한 것 아닐까요?
배경/남편/경제적문제,"남편 인생에서 제일 돈이 없을 때였을 거야, 아마.",돈은 있다가도 없는 것이지요.
배경/남편/경제적문제,남편 일이 잘 안 풀려서 경제적으로 어려움이 많았어.,그래도 잘 극복하셨군요.
배경/남편/경제적문제,"남편 소개해준 오빠가 분명히 그 농장이 되게 알짜배기라고, 수익도 잘 나고 탄탄하다고 그랬었거든?","네, 그랬었군요."
배경/남편/경제적문제,그런데 까고 보니까 남편이 소유하고 있는 목장이 빛 좋은 개살구인 거야.,많이 당황스러우셨겠어요.
배경/남편/경제적문제,남편 일이 잘 안 풀려서 경제적으로 힘들어.,잘 극복해 나가실 수 있을 거에요.
배경/남편/과음,남편이 술을 많이 마시는 편이야. ,남편 분이 술을 많이 드셔서 속상하시겠어요. 건강이 최고인데…
배경/남편/과음,남편이 술자리가 잦은 편이야.,두 분이서 건전한 취미를 만드는 건 어떨까요?
배경/남편/과음,남편이 술을 너무 많이 마셔. 술 밖에 모르는 사람이야. 술이라면 자다가도 벌떡 깨는것 같아.,그렇군요. 걱정이 많이 되시겠어요.
배경/남편/과음,남편이 스트레스를 받으면 술을 많이 먹더라고요. 저도 힘들 때 혼자 마시거나 남편이랑 같이 먹어요.,때때로 좋은 해결책이 되죠.
배경/남편/과음,미친 인간이 어제 또 술을 진탕이 되도록 마신 거야.,힘든 일이 있으셨던건 아닐까요?
배경/남편/과음,그 때 쟤가 출장 가서 술 마시고 차를 두고 온 거야. 부산에.,"아이고, 그래서 어떻게 되셨나요?"
배경/남편/과음,남편이 술을 너무 많이 마셔. 술 밖에 모르는 사람이야. 술이라면 자다가도 벌떡 깨는 것 같아.,과함은 언제나 모자름만 못하는 법이죠.
배경/남편/관계소원,결혼 초창기부터 남편과 사이가 다정하지는 않았어요.,그렇군요. 많이 외로울 것 같아요. 괜찮으신가요?
배경/남편/관계소원,결혼하고 바로 남편이랑 사이가 안 좋았어요.,이야기를 더 듣고 싶어요. 당신이 괜찮은지 궁금해요.
배경/남편/관계소원,"남편은 일 때문에 바쁘고, 평일 주말없이 일해서 얼굴 보기도 힘들어.",많이 피곤하시겠어요.
배경/남편/관계소원,결혼 하고 얼마 지나지 않아서부터 남편이랑 사이가 안 좋았어.,특별한 이유가 있었을까요?
배경/남편/관계소원,남편은 저를 도와주지 않으면서 아이만 신경 쓴다고 하고..,지금의 상황에 대해 대화 해보는게 좋겠어요.
배경/남편/관계양호,남편이랑 사이는 좋아요.,남편 분과 사이가 좋은 것 같아 저도 행복해요.
배경/남편/관계양호,떨어져있던 시간 동안 서로 믿음이 생기고 더 애틋해진 것 같아.,좋은 분과 결혼하신 것 같아 마음이 흡족해요.
배경/남편/관계양호,능력 빼고는 다 완벽한 사람이야. 잘 생기고 착하고 배려심 깊고..세상에서 나를 제일 아껴주는 사람이지.,멋진 부부네요.
배경/남편/관계양호,처음엔 신랑이랑 사이가 좋았어요. 말도 잘 통하고 취향도 비슷했거든요.,행복하셨겠어요.
배경/남편/관계양호,제가 조금이라도 우울하거나 짜증을 내면 굉장히 신경을 써주는 편이예요.,섬세하게 챙겨주시는 군요.
배경/남편/관계양호,남편이 저보다 훨씬 잘 낫긴 하지만 그렇다고 저를 무시한적은 없어요.,좋은 배우자를 두셨군요.
배경/남편/관계양호,남편이랑 성격도 잘 맞고 서로 너무 좋아해서 싸울 일이 없어.,보기 좋은 한 쌍이시군요. 앞으로도 그렇게만 지내길 바라요.
배경/남편/다툼,남편이랑 싸우는 횟수가 많아졌어요.,싸우셨군요… 너무 큰 상처가 되지는 않았길 바라요.
배경/남편/다툼,남편이랑 다투는 일이 많아졌어.,그러셨군요. 화해는 하셨나요?
배경/남편/다툼,남편이랑 자주 싸웠어.,속상하셨겠어요. 언제나 내 편이 되어야 하는 상대와 싸우면 더더욱 괴로운 것 같아요.
배경/남편/다툼,남편이랑 싸우는 것도 하루 이틀이지…,싸움이 지속될수록 점점 지치게 되죠.
배경/남편/다툼,지난 번에는 남편이 너무한 거 아니냐고 해서 싸웠어요.,"저런, 그 후에 어떻게 되셨나요?"
배경/남편/무관심,"남편이랑은 그냥 그래. 부부관계도 별로 없고, 살갑게 챙겨주는 것도 아니고…",섭섭하시겠어요.
배경/남편/무관심,남편은 내가 옆에 없으니까 아주 살판이 난 거 같아.,실망이 크셨겠어요.
배경/남편/무관심,그 인간은 내가 걱정도 안 되나 봐.,겉으로 표현하는게 서툴러서 그렇지 걱정하고 있을 거에요.
배경/남편/무관심,그 사람은 항상 나보고 가구처럼 이리 가라 저리 가라 해.,서운함이 크시겠는데요. 그 일에 대해 대화 해보셨나요?
배경/남편/무관심,보고 싶다고 해도 시큰둥하고… 이러려고 결혼했냐고 화를 내도 반응이 없어요.,많이 답답하겠어요. 해묵은 갈등을 푸는 건 정말 어려운 문제죠.
배경/남편/무관심,남편이 애들한테 관심이 없어요.,혼자 도맡아 하시려니 힘드시겠어요. 도움을 청해보는건 어떤가요?
배경/남편/무관심,그 와중에도 신랑은 놀러 다니고 저에게는 관심을 안 가지더라고요.,각자의 시간을 존중해주는게 좋아요.
배경/남편/무관심,남편이 나한테 더 많이 신경 써주면 좋겠어.,상대에게 사랑 받고 싶은건 당연한거죠.
배경/남편/무관심,남편이 신경을 안 써주거든요.,무심함에 상처 받으셨겠어요.
배경/남편/무관심,왜 이렇게 무관심하냐고 물으면 오히려 애정 결핍인 거냐고 말하더라고.,상대방의 무심한 언행에 상처 받으셨겠어요.
배경/남편/무관심,남편의 태도변화에 극단적인 생각까지 할 수 밖에 없었어.,오죽 상심이 크셨으면 그랬을까요.. 마음이 아프네요.
배경/남편/무관심,근데 남편은 도와주지도 않고…,그럴 때 더욱 외로움을 느끼게 되죠.
배경/남편/바람,"자주 가는 술집 여자랑 바람이 난 거야, 알고 보니.",충격이 크셨겠어요. 
배경/남편/바람,남편이 바람을 폈더라고요.,절대 용서하지 마세요. 제가 대신 욕해드릴게요.
배경/남편/바람,바로 남편한테 이게 뭐냐고 따지면서 딴 여자 있냐고 물어보니까 바로 그렇다고 그러네요.,배신감이 클 것 같아요. 괜찮으세요?
배경/남편/바람,남편이 바람 피운 걸 뒤늦게 알게 됐어요.,충격이 굉장히 크셨겠어요.
배경/남편/바람,그 새끼가 옆에 젊은 여자 끼고 술을 마시고 있더라구.,험한 말이 나오는 심정이 이해돼요.
배경/남편/바람,10년 전에 남편이 여자후배랑 바람이 난적이 있어.,그런 상처는 시간이 지나도 낫기 힘들죠.
배경/남편/바람,그냥 아끼는 후배라고 하더니…결국 그렇고 그런 사이였던거야.,거짓말을 치다니 정말 나쁘네요.
배경/남편/바람,남편이 평소에 나한테 정말 잘 하는 사람인데..뒤에서 바람을 피울 거라곤…상상도 못했어.,그럴수록 배신감은 더 크죠. 괜찮으세요?
배경/남편/바람,남편한테 새 여자가 생겼다는 걸 알게 됐거든요.,"저런, 괜찮으신가요?"
배경/남편/바람,근데 거기에 자기야 오빠야 이러는 대화 내역이 있는 거예요.,이럴수가. 많이 놀라셨겠어요.
배경/남편/바람,그런 스팸 많으니까 그런 거겠거니 했는데 남편이 보낸 답장을 보니까 아니었어요.,좋지 않은 기억이겠어요.
배경/남편/바람,바람 피우는 거 나한테만 걸린 게 벌써 세 번째야.,습관적이네요. 나아지질 않는군요.
배경/남편/바람,그러다가 남편이 바람피우고 있다는걸 알게됐어.,정말 나쁜 사람이네요. 괜찮으세요?
배경/남편/사업,남편이 원래 사업을 했었거든.,그렇군요. 일이 많아 힘드시겠어요.
배경/남편/사업,남편이 사업 때문에 바쁘거든요. ,일이 많이 바쁘시겠네요.
배경/남편/사업,남편이 여직원을 하나 데리고 무역업을 하거든. ,그렇군요. 듣고 있으니 더 이야기해주세요.
배경/남편/사업,"남편이 사업을 하고, 저는 원래 전업주부였어요.",그럴 수도 있죠.
배경/남편/사업,남편이 사업을 해서 그렇게 자주 다닐 수밖에 없었거든요.,사업 하는 사람들은 많이들 바쁘죠.
배경/남편/사업,오빠가 올해 자기 학원을 차리게 됐거든.,축하드려요.
배경/남편/사업,원래 남편이 사업을 해서 그렇게 못 사는 건 아니었어요.,그러셨군요. 그 이후엔 어떻게 되었나요?
배경/남편/소통불가,남편이 제 마음을 모르는 것 같아요.,마음이 많이 답답하겠어요.
배경/남편/소통불가,신랑이랑은 전혀 대화가 안 돼.,그럴 때는 벽과 이야기하는 기분이죠. 많이 힘드시겠어요.
배경/남편/소통불가,남편이랑 말을 하면… 벽에다 대고 말을 하는 기분이야.,"어휴, 그럴 땐 텔레파시라도 되었으면 좋겠어요."
배경/남편/소통불가,남편이랑은 말이 안 통해.,이럴 때 답답함이 느껴지죠.
배경/남편/소통불가,남편이 제가 처한 상황을 잘 이해해주지 못하는 거 같아요.,그럴수록 대화가 중요한 것 같아요.
배경/남편/소통불가,내가 힘들다고 하소연해도 연애 때와는 다르게 모든 것을 이해하라고 요구했어.,갑작스레 변한 모습이 당황스러웠겠어요.
배경/남편/소통불가,신랑이랑 말이 안 통해.,이럴 때 답답함이 느껴지죠.
배경/남편/소통불가,남편은 오히려 저를 더 이상한 사람으로 몰더라구요.,그런 식의 말은 정말 너무하네요.
배경/남편/의심,남편 그 인간 분명 돈 빼돌려서 자기네 식구들한테 줬다니까. ,헉. 정말 의심스러운 상황이군요.
배경/남편/의심,"지금 생각해보면 이상한 게… 저는 아는 오빠 소개로 거길 간 건데, 자꾸 남편이랑 부딪치는 일이 많더라고요.",그렇군요. 혹시 무슨 일이 있었나요?
배경/남편/의심,남편 낌새가 이상하다고 느끼긴 했어.,이전부터 의심스러우셧군요.
배경/남편/의심,며칠 전에는 딱 촉이 서는 거야. 그래서 남편 가방을 뒤졌더니 현금인출영수증이 나오더라?,"저런, 내용이 무엇이던가요?"
배경/남편/의심,그게 진짜 칼슘이 맞았나 싶어요. 이상한 약을 칼슘이라고 속이고 들고 온 것 같기도 해요. ,정말 무섭네요. 확인해보셨나요?
배경/남편/의심,남편한테 특별히 잘못한 것도 없는데… 이 남자가 왜 저한테 이런걸 갖다 줬는지 모르겠어요.,선물은 선물 그 자체로 받아들여 보는건 어떨까요?
배경/남편/의심,제일 큰 문제는 그이가 그냥 의심하는 수준이 아니라는 거야.,그런 식의 반응은 사람을 힘들게 만들죠. 많이 답답하셨겠어요.
배경/남편/의심,그래서 그냥 의심만 하고 있던 찰나에 우연히 남편 문자 내역을 보게 됐거든요.,그렇군요. 어떤 내용이 쓰여있던가요?
배경/남편/의지,남편이 달래주니까 맘이 많이 차분해지더라구..,좋은 분이 옆에 계신 거 같아 안심이에요.
배경/남편/의지,다시 합치기엔 너무 멀리 온것 같구… 그래도 이렇게 가끔 친구처럼 연락하고 지낼 수 있어서 다행이야.,힘들 때 도와줄 수 있는 사람이 있다는 건 좋은 일이죠.
배경/남편/의지,그래도 남편을 사랑하니까 하루하루 버티고 있어.,사랑으로 극복하실 수 있으실 거에요.
배경/남편/의지,다시 합치기엔 너무 멀리 온 것 같고… 그래도 이렇게 가끔 친구처럼 연락하고 지낼 수 있어서 다행이야.,친구부터 다시 시작한다는 마음으로 서서히 다가가 보는건 어떨까요?
배경/남편/의지,남편이 옆에 있으면 응급처치라도 할 수 있잖아요.,응급처치는 중요하죠. 든든하시겠어요.
배경/남편/의지,"가족, 친구들과 떨어져 지내야 해서 외로웠지만 신랑을 믿고 의지했어요.",배우자 분과 함께라면 걱정 없죠.
배경/남편/의지,유일하게 제가 의지하는 사람이 남편이에요.,배우자 분이 큰 힘이 되시나봐요.
배경/남편/폭력,"지난 번에 싸우는데 남편이 선풍기를 잡는 거에요. 설마 이 인간이 이걸 던질까 싶었는데, 던지더라고요.",여성긴급전화 번호는 1366입니다.
배경/남편/폭력,남편이 처음부터 날 때렸던 건 아니에요.,잠시라도 떨어질 수 있는 방법이 없을까요? 너무 마음이 아파요.
배경/남편/폭력,이웃집 언니가 반찬 좀 가져가라고 해서 간 김에 술도 얻어먹고… 그러고 왔는데 가시나가 헛바람 들었다고 대뜸 손을 올리더라고요.,두렵고 무서우실 것 같아요. 제가 당신을 안아드리고 싶어요.
배경/남편/폭력,"지 기분 나쁘다고 때리고, 일이 안 풀리면 안 풀린다고 때리고.",자기 기분에 따라 함부로 휘두르는 사람은 정말 최악이에요.
배경/남편/폭력,남편 버릇이 화 나면 손에 잡히는 대로 막 던지는 거거든요.,이야기만 들어도 너무 무서워요.
배경/남편/폭력,"그때는 여름이었는데, 자기가 좋아하는 난이 다 죽었다고, 옆에 있던 선풍기를 저한테 던졌어요.",정말 나쁜 사람이네요. 괜찮으세요?
배경/남편/폭력,남편이 던진 선풍기가 바닥에 부딪히면서 파편이 저한테 튀었어요. ,많이 놀라셨겠어요. 괜찮으세요?
배경/남편/폭력,남편은 의심이 많고 폭력적예요. ,도움을 청할 곳이 있을까요? 제가 주변에 도움을 청할 수 있도록 용기를 드릴게요.
배경/남편/폭력,남편이랑 싸웠는데 이 인간이 나한테 선풍기를 던졌어.,경찰에 신고하는게 좋을 것 같아요.
배경/남편/폭력,요즘은 안 그러는데…우리남편이 젊었을 때 나를 많이 팼어.,"저런, 그때의 상처는 씻을 수 없을 것 같아요."
배경/남편/폭력,그 후로 일주일에 한 번은 뭘 던지거나 때렸어요.,잦은 폭력으로 많이 힘드셨겠어요. 신고는 했나요?
배경/남편/폭력,그럼 네가 처신을 잘하라면서 보란듯이 더 때리고…,정말 최악이네요. 당장 헤어지세요.
배경/남편/폭력,어제는 나 보고 거짓말 하지 말라면서 뺨을 때리더라.,"저런, 괜찮으신가요?"
배경/남편/폭력,애기가 쓰는 작은 선풍기가 있었는데 그이가 그걸 던진 거예요.,아이가 쓰는 물건까지 손 대다니 최악이네요.
배경/남편/폭력,남편은 의심이 많고 폭력적이에요.,많이 힘드시겠어요. 제가 힘이 되어 드릴게요.
배경/남편/폭력,남편이 그만하라고 화낼 때 한 마디 더 했더니..폭력적으로 변하더라구.,최악이네요.
배경/대인관계,2차이밖에 안 나는데 나를 엄청 어른 취급 하더라구.,사람 대하는 게 가장 어려운 문제인 거 같아요. 힘들죠?
배경/대인관계,남자친구들보다는 여자친구들이 편한 것 같아요.,대인관계에서 아주 능숙한 사람은 별로 없는 거 같아요. 조금씩 실수를 하면서 좋아지는 거죠.
배경/대인관계,남자친구들은 거친 면이 있다 보니까 불편해요.,사람마다 편한 상대가 다르잖아요. 있을 수 있는 일이에요.
배경/대인관계,그 오빠 되게 씀씀이가 커서 뭐지 싶었는데 되게 잘나가는 집안인가 봐요.,경제적 풍요에서 나오는 여유로움은 무시할 수 없죠.
배경/대인관계,그래서 애들이랑 어울려 다니는 걸 별로 안 좋아했어요.,여러 사람과의 관계는 때때로 피곤함을 주죠.
배경/대인관계,당연히 주위에 친한 친구도 별로 없죠.,괜찮아요. 제가 친구가 되어 드릴게요.
배경/대인관계,2살 차이밖에 안 나는데 나를 엄청 어른 취급 하더라구.,많이 의지가 되었나봐요.
배경/대인관계,나는 여자애들이랑 노는 게 더 편하고 좋은데… 남자애들은 그게 보기가 싫은가 봐.,다른 사람의 시선은 신경쓰지 마세요.
배경/대인관계,여러 사람하고 친해지는 스타일이 아니에요.,사람 간의 관계는 수 보다 깊이가 더 중요하죠.
배경/대인관계,잘 지내는 것 같더만 뭣 때문에 이별한거냐고 친구들이 묻데.,다른 사람들은 둘 만의 관계를 알기 힘들죠.
배경/대인관계,그 언니도 10년이 넘도록 어울리던 사람이었어. 일주일에 몇 번 볼 정도로 아주 가까웠지.,매우 가까운 사람이었군요. 저도 그런 관계를 갖고 싶어요.
배경/대인관계,친한 여자 동생들한테는 매번 남자들 조심하라고 말해.,좋은 사람을 만나는 건 중요하죠.
배경/대인관계,우유부단한 남자 만나면 인생 망친다고 말이야.,그럴 수도 있죠.
배경/대인관계,상대가 거리를 두기 전에 내가 먼저 거리를 두지 않으면.,때로는 상대와의 거리두기도 필요해요.
배경/대인관계,근데 요즘 드는 생각은 저런 놈들이랑 친하게 지낼 바에야 이게 훨씬 낫다 싶어.,잘 생각하셨어요. 때로는 그런 선택도 필요하죠.
배경/대인관계,중학교 친구랑 가족말고는 연락하는 사람도 없어.,마음 맞는 친구가 있다는게 중요하죠. 수는 중요하지 않아요.
배경/대인관계/갈등,사람들이 이해를 못 해줘요. ,서로 상처만 남기는 관계는 끊는 게 답일 수도 있죠.
배경/대인관계/갈등,"그 다음 날부터 일을 하는데, 아씨 거기 외교부 직원이 진짜 이상한 거야.",그러셨군요. 저도 그런 상황이면 힘들었을 것 같아요.
배경/대인관계/갈등,난 정말 걔들이 이해가 안 가.,저도 이해 할 수 없어요.
배경/대인관계/갈등,나도 상대하기 싫어서 더 피하게 돼.,때로는 피하는게 답이 될 때도 있어요.
배경/대인관계/갈등,제 눈빛이 건방지대요.,무례한 사람을 만났군요. 기분 푸세요.
배경/대인관계/갈등,며칠 전에 친했던 언니와 완전히 틀어졌어.,"저런, 어떤 일이 있었나요?"
배경/대인관계/갈등,그런데 언니가 이번에 사람을 잘못 만나는 거 같아서 말리기 시작하니까 오히려 온갖 욕을 하는 거야. 이러니까 다 널 떠나가는 거야 라면서..,때로는 피하는게 답이 될 때도 있어요.
배경/대인관계/양호,내려서 숙소에 짐 풀고… 같이 방 쓰는 사람도 좋아 보이더라고.,그렇군요. 적절한 사교활동은 삶에 활력을 주죠.
배경/대인관계/양호,그래도 인간관계는 나쁘지 않아.,친구가 많으시군요. 저와도 친구 하실래요?
배경/대인관계/양호,딱히 트러블이 있는 친구도 없었고…,다행이네요. 저와도 좋은 관계를 쌓길 바라요.
배경/대인관계/양호,살면서 누구한테 미움 받아본 적이 없는 거 같아.,인간관계가 정말 좋으신가봐요.
배경/대인관계/양호,그냥 대화도 잘 나누고… 남자애들이랑은 축구도 하고요.,성별에 관계 없이 두루 친하게 지내는게 좋죠.
배경/대인관계/양호,학교 입학하고 사람들과도 잘 어울려 지냈어요.,축하드려요. 잘 적응하셨군요.
배경/대인관계/양호,사람들이랑은 그런대로 잘 지냈어.,그러면 됐죠. 그게 중요한거에요.
배경/대인관계/양호,그러다 보니 자연스레 친구가 늘더라고요. 모임도 자주 나가고요.,축하드려요. 저와도 친구가 되길 바라요.
배경/대인관계/협소,친구가 그렇게 많은 편은 아니에요.,적은 친구를 자주 만나는 것도 좋잖아요.
배경/대인관계/협소,이성친구가 한 명도 없어.,마음에 맞는 사람을 만나는 게 중요하다고 생각해요.
배경/대인관계/협소,여자친구들은 많은데… 이성친구가 하나도 없어서… 뭔가 인간관계가 한정적인 느낌이야.,저도 친구가 많이 없어요… 저와 친구를 하는 건 어때요?
배경/대인관계/협소,주변에 친한 사람들이 다 여자들밖에 없어.,자기가 편한 사람과 관계를 맺는 건 자연스러운 일이에요.
배경/대인관계/협소,나는 친구도 없고…아는 남자는 남편밖에 없는데…,"배우자가 평생의 친구죠,"
배경/대학,그래서 대학 들어갔어요.,네. 듣고 있으니 계속 말씀하세요.
배경/대학,조금 늦더라도 대학을 꼭 가야겠더라.,"아, 그렇군요."
배경/대학,여름에 대강의실에서 초청강연을 듣고 있었거든요.,좋은 시간을 보내셨겠군요.
배경/대학,아무래도 초청강연이고 그래서 사람들이 진짜 많이 왔었어요. ,인기 있는 강연이었군요. 강연은 어땠나요?
배경/대학,"다른 친구들은 대부분 4년제 대학을 갔는데, 난 그게 시간이 아깝다고 생각해서 전문대로 진학했어요.",자신에게 필요한 선택을 하는 것이 옳죠.
배경/대학,엄마가 대학 졸업장은 있어야 한다고 난리쳐서 억지로 대학에 가긴 갔어요.,부모님과 의견이 다를 때가 있죠.
배경/대학,대학 들어와서 축구 동아리에 들었거든.,그렇군요. 이야기를 더 듣고 싶어요.
배경/대학,매달 넷째주 토요일마다 모여서 다른 대학이랑 친선경기를 해.,즐거운 이야기네요. 관련 얘기를 더 들려주세요.
배경/대학,경제학과랑 사진학과 중에 어딜 갈지 고민하다가 가고 싶었던 사진학과에 갔어.,적성에 맞는 선택을 하는 것이 중요하죠.
배경/대학,대학원도 그 교수님 밑에서 배우고 싶었고 그만큼 따랐거든요.,좋은 선생님을 만나셨군요. 많이 배우셨나요?
배경/대학,다행히도 대학은 원했던 곳에 바로 붙었어요.,좋은 소식이네요. 축하드려요.
배경/대학,사실 원했던 곳이 아니었더라도 대충 갔을지도 몰라요.,그 후에 새로운 길을 찾는 것도 방법이죠.
배경/대학,심리학에 관심이 많아서 교양수업을 많이 들었거든요.,저도 그 수업 좋아해요. 정말 즐거운 학문이죠.
배경/대학,명문대를 나왔어요. 머리가 안 좋은데 사교육발이었죠.,그래도 직접 성취하신거잖아요! 자신의 능력을 믿으세요. 축하드려요.
배경/대학,근데 우리가 서로 대학을 다르게 가게 됐어.,"저런, 아쉬움이 크시겠어요."
배경/대학,이번에는 정말 잘해보려고 마음먹었는데 시작하자마자 수강신청도 망하고..,시작이 좋지 않아 많이 힘드셨겠어요.
배경/대학,대학은 내 생각과는 많이 다르더라고.,상상과 현실은 많이 다른 법이죠.
배경/대학,더 왜 다녀야 하는지 모르겠어서 자퇴가 답이라 생각했지.,많은 분들이 비슷한 고민을 하고 있을 거에요.
배경/대학,나는 학교를 광주로 가고 여친은 인천으로 갔거든.,장거리 연애였군요.
배경/대학,그래도 대학은 곧잘 갔어요.,축하드려요.
배경/대학/실패,대학 떨어질 줄은 정말 상상도 못했어요.,상심이 크셨겠어요. 
배경/대학/실패,"그 대학만 보고 공부했는데, 당연히 붙을 줄 알았는데 어떻게 떨어질 수가 있죠? ",괜찮아요. 다음에는 잘하실 거라고 생각해요.
배경/대학/실패,시험을 완전히 망쳐서 가고 싶었던 대학에 못 들어갔어요. ,운이 나빴던 거라고 생각해요.
배경/대학/실패,현역 때 대학을 다 떨어졌어.,"저런, 제가 위로가 되어 드릴게요."
배경/대학/실패,결국 시험 다 망치고… 전문대 말고는 갈 데가 없더라.,의도치 않았은 곳에서 새로운 길을 찾을 수도 있을 거에요.
배경/대학/실패,성적이 떨어져서 원하는 대학에 진학하지 못했어요.,많이 슬펐겠어요. 그 마음 잘 알아요. 제가 위로가 되어 드릴게요.
배경/대학/실패/재수,결국 원하던 데는 못 가고 다니던 학교를 계속 다니고 있어요.,그러셨군요. 실망하셨겠어요.
배경/대학/실패/재수,근데 또 원하는 대학에 떨어진거야. 그래서 마지막이라고 생각하고 다시 해보기로 했어.,그렇군요. 하지만 꼭 거기에만 답이 있는 건 아니니까요. 너무 실망하지 마세요.
배경/대학/실패/재수,"나름 열심히 했다고 생각했는데, 재수 실패하고, 그냥 합격한 대학에 갔어.",많이 슬펐겠어요. 그 마음 잘 알아요. 제가 위로가 되어 드릴게요.
배경/대학/실패/재수,아쉽게 재수 준비한 건 잘 안 됐어.,그럴 수도 있죠. 기운 내세요.
배경/대학/실패/재수,공부를 나름 열심히 했는데 입시 실패하고 결국 작년에 합격한 학교에 다시 들어갔어요.,그래도 한 번 도전 해봤다는 거에 의의를 가지면 어떨까요?
배경/대학/입학,그런데 대학교에 딱 입학하고 나니까… 시험 끝나고 긴장이 풀려서 그런가? ,원했던 곳에 가신 건가요? 축하드려요.
배경/대학/입학,난 대학 가려고 4수 했어. ,사람마다 속도가 다르잖아요. 괜찮아요.
배경/대학/입학,사수를 해서 대학에 입학했어요.,그렇군요. 재밌는 대학 생활 하시길 바래요.
배경/대학/입학,사수 끝에 드디어 대학 붙었어.,정말 좋은 소식이네요! 축하드려요.
배경/대학/입학,내 또래는 이제 대학 졸업반인데 난 입학 예정이라고 생각하니까 기분이 좀 그렇지만…,남들과 비교할 필요 없어요. 각자 자신의 삶이 있는 것인 걸요.
배경/대학/재수,원하는 대학에 또 떨어지고… 좀 더 좋다고 하는 재수학원에 다녔어요.,그렇군요. 여러 번 도전하는 모습이 멋져요.
배경/대학/재수,대학은 한 번 재수를 하고 들어갔어요.,그래요. 도전을 해야 후회가 없죠.
배경/대학/재수,원하는 대학에 못 가서 재수를 했어요.,공부는 정말 힘든 일인 것 같아요. 언제나 파이팅이에요.
